logit,10{'activity_auc': 0.8362474273949052, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.7249469554731267, 'Washing Machine': 0.6997289972899728, 'Dishwasher': 0.6828450520833333}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
logit,100{'activity_auc': 0.8362208344073643, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.7284578162446002, 'Washing Machine': 0.702516453735966, 'Dishwasher': 0.6836588541666666}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
logit,1000{'activity_auc': 0.8362138937156013, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.7284578162446002, 'Washing Machine': 0.702516453735966, 'Dishwasher': 0.6836588541666666}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
random forest,5100auto{'activity_auc': 0.8532631051438375, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.8610157072857993, 'Washing Machine': 0.8713743708865661, 'Dishwasher': 0.8804361979166667}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
random forest,5100sqrt{'activity_auc': 0.8538162678792999, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.8597792737097587, 'Washing Machine': 0.873697251258227, 'Dishwasher': 0.8799967447916667}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
random forest,5100log2{'activity_auc': 0.8542489563227207, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.8670452290455037, 'Washing Machine': 0.8679055361982191, 'Dishwasher': 0.879736328125}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
random forest,5500auto{'activity_auc': 0.8542231301906367, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.8620842301292913, 'Washing Machine': 0.8748896631823461, 'Dishwasher': 0.8844075520833333}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
random forest,5500sqrt{'activity_auc': 0.8539700158996432, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.863702279006579, 'Washing Machine': 0.8756639566395664, 'Dishwasher': 0.8845865885416666}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
random forest,5500log2{'activity_auc': 0.8542552601345278, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.8663888507273588, 'Washing Machine': 0.8752922957801006, 'Dishwasher': 0.886083984375}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
random forest,51000auto{'activity_auc': 0.8539608266317098, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.8622674054738899, 'Washing Machine': 0.8744405729771584, 'Dishwasher': 0.8840983072916666}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
random forest,51000sqrt{'activity_auc': 0.8539880175065562, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.8639159835752774, 'Washing Machine': 0.8740069686411149, 'Dishwasher': 0.8837239583333334}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
random forest,51000log2{'activity_auc': 0.8540526543232918, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.8648471249103203, 'Washing Machine': 0.8751219512195122, 'Dishwasher': 0.8862630208333333}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
random forest,10100auto{'activity_auc': 0.8579918998227862, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.927813649616095, 'Washing Machine': 0.9300503290747193, 'Dishwasher': 0.9228841145833333}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
random forest,10100sqrt{'activity_auc': 0.8580569395635755, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.929935430691029, 'Washing Machine': 0.9285946573751451, 'Dishwasher': 0.9287597656250001}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
random forest,10100log2{'activity_auc': 0.8578131705111166, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.9277983850040451, 'Washing Machine': 0.9285481997677121, 'Dishwasher': 0.9231282552083334}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
random forest,10500auto{'activity_auc': 0.8589956226330812, 'time_mean_lime': nan, 'time_mean_shap': nan, 'usage_auc': {'Tumble Dryer': 0.9273404466425486, 'Washing Machine': 0.933132017034456, 'Dishwasher': 0.9299804687500001}, 'load_mse': {'Tumble Dryer': 24907.499024126446, 'Washing Machine': 890.3298548744691, 'Dishwasher': 314.83944538577924}}
